disease,symptom,importance
heart attack,low blood pressure,0.01
heart attack,lesion,0.009
heart attack,weight gain,0.009
heart attack,agitation,0.008
heart attack,fluid in the lungs,0.008
heart attack,malnutrition,0.008
heart attack,fainting,0.007
heart attack,arm discomfort,0.006
heart attack,weakness,0.006
heart attack,slow heart rate,0.006
heart attack,lightheadedness,0.006
heart attack,drooping of upper eyelid,0.006
heart attack,stuffy nose,0.006
heart attack,difficulty breathing,0.005
heart attack,diarrhea,0.005
hepatitis a,pain,0.216
hepatitis a,nausea,0.167
hepatitis a,abdominal pain,0.124
hepatitis a,vomiting,0.112
hepatitis a,diarrhea,0.1
hepatitis a,yellow skin and eyes,0.089
hepatitis a,fever,0.087
hepatitis a,chills,0.061
hepatitis a,dark urine,0.047
hepatitis a,tenderness,0.034
hepatitis a,lethargy,0.03
hepatitis a,fatigue,0.029
hepatitis a,pain in upper abdomen,0.026
hepatitis a,loss of appetite,0.024
hepatitis a,depression,0.021
hepatitis a,sadness,0.021
hepatitis a,fluid in the abdomen,0.021
hepatitis a,coughing,0.019
hepatitis a,skin rash,0.018
hepatitis a,weakness,0.017
hepatitis a,night sweats,0.014
hepatitis a,infection,0.014
hepatitis a,itching,0.012
hepatitis b,abdominal pain,0.051
hepatitis b,chills,0.035
hepatitis b,lethargy,0.032
hepatitis b,back pain,0.027
hepatitis b,nausea,0.027
hepatitis b,fatigue,0.027
hepatitis b,weakness,0.024
hepatitis b,yellow skin and eyes,0.023
hepatitis b,dizziness,0.02
hepatitis b,fluid in the abdomen,0.019
hepatitis b,depression,0.017
hepatitis b,sadness,0.017
hepatitis b,discomfort,0.014
hepatitis b,infection,0.012
hepatitis b,constipation,0.011
hepatitis b,cough with phlegm,0.011
hepatitis b,lesion,0.01
hepatitis b,coughing,0.01
hepatitis b,diarrhea,0.01
hepatitis b,fever,0.01
hepatitis b,vomiting blood,0.01
hepatitis b,chronic back pain,0.008
hepatitis c,pain,0.112
hepatitis c,depression,0.063
hepatitis c,sadness,0.063
hepatitis c,abdominal pain,0.047
hepatitis c,nausea,0.037
hepatitis c,chills,0.033
hepatitis c,diarrhea,0.025
hepatitis c,anxiety,0.024
hepatitis c,infection,0.022
hepatitis c,fever,0.021
hepatitis c,vomiting,0.02
hepatitis c,confusion,0.018
hepatitis c,substance abuse,0.017
hepatitis c,fluid in the abdomen,0.015
hepatitis c,lethargy,0.014
hepatitis c,thoughts of suicide,0.013
hepatitis c,coughing,0.013
hepatitis c,back pain,0.01
hepatitis c,fatigue,0.01
hepatitis c,yellow skin and eyes,0.01
hepatitis c,mental confusion,0.009
hepatitis c,chronic back pain,0.009
hiatal hernia,pain,0.157
hiatal hernia,nausea,0.144
hiatal hernia,vomiting,0.095
hiatal hernia,abdominal pain,0.076
hiatal hernia,depression,0.037
hiatal hernia,sadness,0.037
hiatal hernia,constipation,0.035
hiatal hernia,diarrhea,0.032
hiatal hernia,pain in upper abdomen,0.028
hiatal hernia,shortness of breath,0.027
hiatal hernia,chills,0.026
hiatal hernia,discomfort,0.024
hiatal hernia,weakness,0.021
hiatal hernia,chest pressure,0.018
hiatal hernia,anxiety,0.017
hiatal hernia,tenderness,0.016
hiatal hernia,fainting,0.015
hiatal hernia,weakness of one side of the body,0.015
hiatal hernia,back pain,0.015
high blood pressure,headache,0.052
high blood pressure,sadness,0.041
high blood pressure,depression,0.041
high blood pressure,dizziness,0.032
high blood pressure,shortness of breath,0.029
high blood pressure,anxiety,0.021
high blood pressure,lightheadedness,0.016
high blood pressure,fainting,0.014
high blood pressure,regurgitation,0.012
high blood pressure,weakness,0.011
high cholesterol,nausea,0.027
high cholesterol,sadness,0.027
high cholesterol,weakness,0.027
high cholesterol,depression,0.027
high cholesterol,dizziness,0.026
high cholesterol,fainting,0.019
high cholesterol,discomfort,0.018
high cholesterol,anxiety,0.018
high cholesterol,shortness of breath,0.014
high cholesterol,lethargy,0.013
hiv/aids,coughing,0.08
hiv/aids,depression,0.059
hiv/aids,sadness,0.059
hiv/aids,fever,0.056
hiv/aids,cough with phlegm,0.044
hiv/aids,chills,0.038
hiv/aids,confusion,0.035
hiv/aids,infection,0.034
hiv/aids,oral thrush,0.033
hiv/aids,vomiting,0.032
hiv/aids,mental confusion,0.031
hiv/aids,shortness of breath,0.029
hiv/aids,nausea,0.029
hiv/aids,lethargy,0.028
hiv/aids,weakness,0.027
hiv/aids,lesion,0.023
hiv/aids,skin rash,0.022
hiv/aids,low blood pressure,0.017
hiv/aids,dry cough,0.016
hiv/aids,fatigue,0.015
hiv/aids,diarrhea,0.015
hiv/aids,constipation,0.015
hiv/aids,leg pain,0.014
hiv/aids,difficulty swallowing,0.013
hiv/aids,malaise,0.012
hiv/aids,abdominal pain,0.011
hiv/aids,watery diarrhea,0.011
hiv/aids,seizures,0.01
hiv/aids,falling,0.009
hiv/aids,anxiety,0.009
hiv/aids,fast breathing,0.009
hiv/aids,kidney failure,0.008
hives,skin rash,0.334
hives,itching,0.222
hives,swelling,0.166
hives,redness,0.098
hives,facial swelling,0.043
hives,tongue swelling,0.024
hives,shortness of breath,0.02
hives,difficulty swallowing,0.019
hives,wheezing,0.019
hives,raised area of skin,0.016
hives,swelling under the skin,0.016
hives,red rashes,0.016
hives,difficulty breathing,0.015
hives,chest tightness,0.012
hives,sore throat,0.012
hives,hand swelling,0.01
hives,lump,0.008
hyperthyroidism,racing heartbeat,0.117
hyperthyroidism,fast heart rate,0.075
hyperthyroidism,dizziness,0.07
hyperthyroidism,weight loss,0.055
hyperthyroidism,anxiety,0.046
hyperthyroidism,depression,0.036
hyperthyroidism,sadness,0.036
hyperthyroidism,vomiting,0.031
hyperthyroidism,nausea,0.03
hyperthyroidism,fainting,0.029
hyperthyroidism,shortness of breath,0.024
hyperthyroidism,lethargy,0.023
hyperthyroidism,abdominal pain,0.023
hyperthyroidism,fatigue,0.021
hyperthyroidism,weakness,0.021
hyperthyroidism,sharp pain,0.019
hyperthyroidism,loss of appetite,0.018
hyperthyroidism,low blood pressure,0.018
hyperthyroidism,swelling,0.018
hyperthyroidism,chest tightness,0.017
hyperthyroidism,vertigo,0.016
hyperthyroidism,dehydration,0.015
hyperthyroidism,wheezing,0.014
hyperthyroidism,constipation,0.013
hyperthyroidism,panic attack,0.013
hyperthyroidism,bruising,0.012
hyperthyroidism,headache,0.01
hyperthyroidism,lightheadedness,0.01
hyperthyroidism,infection,0.01
hypoglycemia,confusion,0.073
hypoglycemia,fainting,0.053
hypoglycemia,seizures,0.05
hypoglycemia,weakness,0.039
hypoglycemia,mental confusion,0.027
hypoglycemia,slurred speech,0.022
hypoglycemia,low blood pressure,0.022
hypoglycemia,low body temperature,0.019
hypoglycemia,depression,0.015
hypoglycemia,sadness,0.015
hypoglycemia,loss of appetite,0.012
hypoglycemia,dizziness,0.011
hypoglycemia,lethargy,0.011
hypoglycemia,kidney failure,0.009
hypoglycemia,lightheadedness,0.009
hypoglycemia,sweating,0.008
hypoglycemia,unsteady gait,0.007
hypoglycemia,slow heart rate,0.006
hypoglycemia,snoring,0.006
hypoglycemia,dehydration,0.006
hypoglycemia,weight loss,0.006
hypoglycemia,anxiety,0.005
hypoglycemia,sleepiness,0.005
hypoglycemia,diarrhea,0.004
hypoglycemia,coma,0.004
hypoglycemia,poor appetite,0.004
hypoglycemia,blurred vision,0.004
hypoglycemia,low oxygen in the body,0.003
hypoglycemia,feeling cold,0.003
hypoglycemia,malnutrition,0.003
hypoglycemia,wandering and getting lost,0.003
hypoglycemia,thirst,0.003
hypoglycemia,drooling,0.003
hyponatremia,weakness,0.107
hyponatremia,lethargy,0.064
hyponatremia,nausea,0.062
hyponatremia,confusion,0.053
hyponatremia,dizziness,0.045
hyponatremia,mental confusion,0.044
hyponatremia,fatigue,0.039
hyponatremia,diarrhea,0.038
hyponatremia,vomiting,0.036
hyponatremia,dehydration,0.034
hyponatremia,seizures,0.029
hyponatremia,coughing,0.023
hyponatremia,low blood pressure,0.019
hyponatremia,lightheadedness,0.017
hyponatremia,constipation,0.017
hyponatremia,anxiety,0.015
hyponatremia,loss of appetite,0.014
hyponatremia,weight loss,0.014
hyponatremia,malaise,0.013
hyponatremia,chills,0.012
hypothyroidism,depression,0.04
hypothyroidism,sadness,0.04
hypothyroidism,nausea,0.036
hypothyroidism,weakness,0.026
hypothyroidism,anxiety,0.021
hypothyroidism,dizziness,0.021
hypothyroidism,lethargy,0.019
hypothyroidism,fainting,0.017
hypothyroidism,diarrhea,0.015
hypothyroidism,fatigue,0.014
hypothyroidism,vomiting,0.012
hypothyroidism,confusion,0.01
hypothyroidism,mental confusion,0.009
hypothyroidism,lightheadedness,0.009
hypothyroidism,malaise,0.009
hypothyroidism,racing heartbeat,0.009
hypothyroidism,constipation,0.008
hypothyroidism,seizures,0.007
hypothyroidism,chills,0.006
hypothyroidism,vertigo,0.005
hypothyroidism,discomfort,0.005
hypothyroidism,headache,0.005
hypothyroidism,dehydration,0.005
hypothyroidism,chest pressure,0.005
hypothyroidism,shortness of breath,0.005
hypothyroidism,numbness,0.004
hypothyroidism,leg pain,0.004
hypothyroidism,low blood pressure,0.004
hypothyroidism,bone loss,0.003
hypothyroidism,weight loss,0.003
hypothyroidism,slow heart rate,0.003
hypothyroidism,cough with phlegm,0.003
hypothyroidism,drooping of upper eyelid,0.003
insect bites and stings,skin rash,0.193
insect bites and stings,redness,0.181
insect bites and stings,swelling,0.119
insect bites and stings,itching,0.103
insect bites and stings,lesion,0.03
insect bites and stings,fever,0.018
insect bites and stings,chills,0.018
insect bites and stings,malaise,0.014
insect bites and stings,night sweats,0.014
insect bites and stings,sore throat,0.011
insect bites and stings,red spots,0.01
insect bites and stings,bruising,0.01
insect bites and stings,stuffy nose,0.01
insect bites and stings,red rashes,0.01
insect bites and stings,fear,0.01
iron deficiency anemia,iron deficiency,0.28
iron deficiency anemia,depression,0.084
iron deficiency anemia,sadness,0.084
iron deficiency anemia,bleeding,0.053
iron deficiency anemia,lethargy,0.049
iron deficiency anemia,fatigue,0.043
iron deficiency anemia,dizziness,0.039
iron deficiency anemia,weakness,0.034
iron deficiency anemia,lightheadedness,0.029
iron deficiency anemia,anxiety,0.024
iron deficiency anemia,malnutrition,0.022
iron deficiency anemia,difficulty swallowing,0.022
iron deficiency anemia,constipation,0.021
iron deficiency anemia,weight loss,0.02
iron deficiency anemia,restless legs syndrome,0.018
iron deficiency anemia,low blood pressure,0.016
iron deficiency anemia,nausea,0.015
iron deficiency anemia,headache,0.015
iron deficiency anemia,heavy or prolonged periods,0.013
iron deficiency anemia,leg pain during exercise,0.011
irritable bowel syndrome,pain,0.283
irritable bowel syndrome,nausea,0.253
irritable bowel syndrome,diarrhea,0.25
irritable bowel syndrome,abdominal pain,0.2
irritable bowel syndrome,anxiety,0.088
irritable bowel syndrome,cramping,0.074
irritable bowel syndrome,sadness,0.073
irritable bowel syndrome,vomiting,0.072
irritable bowel syndrome,constipation,0.072
irritable bowel syndrome,depression,0.072
irritable bowel syndrome,discomfort,0.059
irritable bowel syndrome,lower abdominal pain,0.033
irritable bowel syndrome,acute episodes,0.032
irritable bowel syndrome,drooping of upper eyelid,0.029
irritable bowel syndrome,bone loss,0.027
irritable bowel syndrome,loss of appetite,0.024
irritable bowel syndrome,rectal pain,0.023
irritable bowel syndrome,infection,0.023
irritable bowel syndrome,seizures,0.023
irritable bowel syndrome,dehydration,0.021
irritable bowel syndrome,dizziness,0.02
irritable bowel syndrome,crying,0.019
irritable bowel syndrome,vertigo,0.019
irritable bowel syndrome,abdominal distension,0.018
irritable bowel syndrome,belching,0.018
irritable bowel syndrome,weight loss,0.015
irritable bowel syndrome,severe pain,0.015
irritable bowel syndrome,tenderness,0.015
irritable bowel syndrome,insomnia,0.014
kidney infection,flank pain,0.413
kidney infection,pain,0.383
kidney infection,chills,0.287
kidney infection,nausea,0.257
kidney infection,fever,0.217
kidney infection,pain during urination,0.186
kidney infection,back pain,0.173
kidney infection,tenderness,0.149
kidney infection,vomiting,0.132
kidney infection,abdominal pain,0.058
kidney infection,blood in urine,0.057
kidney infection,infection,0.049
kidney infection,pain in lower abdomen,0.034
kidney infection,discomfort,0.034
kidney infection,diarrhea,0.023
kidney infection,fast heart rate,0.014
kidney infection,frequent urge to urinate,0.014
kidney infection,foul smelling urine,0.013
kidney infection,dehydration,0.013
kidney infection,fatigue,0.011
kidney infection,lower abdominal pain,0.011
kidney infection,malaise,0.011
kidney infection,headache,0.01
kidney infection,abdominal tenderness,0.009
kidney infection,abdominal discomfort,0.009
kidney infection,vaginal discharge,0.009
kidney infection,muscle pain,0.009
kidney infection,cramping,0.007
kidney infection,lethargy,0.007
kidney infection,leaking of urine,0.006
kidney infection,dark urine,0.006
kidney stone,pain,0.608
kidney stone,flank pain,0.495
kidney stone,nausea,0.232
kidney stone,blood in urine,0.141
kidney stone,pain during urination,0.084
kidney stone,vomiting,0.083
kidney stone,chills,0.067
kidney stone,abdominal pain,0.065
kidney stone,back pain,0.05
kidney stone,tenderness,0.04
kidney stone,discomfort,0.019
kidney stone,groin pain,0.018
kidney stone,severe pain,0.013
kidney stone,fever,0.012
kidney stone,testicle pain,0.011
kidney stone,frequent urge to urinate,0.011
kidney stone,lower abdominal pain,0.011
kidney stone,dark urine,0.011
kidney stone,urinary retention,0.011
kidney stone,sharp pain,0.01
kidney stone,cyst,0.01
kidney stone,pain in lower abdomen,0.01
kidney stone,diarrhea,0.009
kidney stone,constipation,0.008
kidney stone,infection,0.007
kidney stone,pelvic pain,0.007
kidney stone,side pain,0.004
kidney stone,dull pain,0.004
liver cancer,pain,0.259
liver cancer,nausea,0.128
liver cancer,abdominal pain,0.125
liver cancer,vomiting,0.092
liver cancer,fluid in the abdomen,0.077
liver cancer,weakness,0.076
liver cancer,yellow skin and eyes,0.064
liver cancer,confusion,0.057
liver cancer,lethargy,0.056
liver cancer,shortness of breath,0.047
liver cancer,mental confusion,0.045
liver cancer,diarrhea,0.042
liver cancer,fatigue,0.036
liver cancer,fever,0.035
liver cancer,vomiting blood,0.034
liver cancer,tenderness,0.034
liver cancer,pain in upper-right abdomen,0.028
liver cancer,dehydration,0.028
liver cancer,flank pain,0.027
liver cancer,fast heart rate,0.024
low back pain,pain,0.463
low back pain,back pain,0.411
low back pain,numbness,0.075
low back pain,tenderness,0.056
low back pain,chronic back pain,0.055
low back pain,weakness,0.053
low back pain,neck pain,0.028
low back pain,leg pain,0.025
low back pain,incontinence,0.024
low back pain,leaking of urine,0.023
low back pain,flank pain,0.019
low back pain,hip pain,0.018
low back pain,discomfort,0.016
low back pain,pain during urination,0.014
low back pain,falling,0.013
low back pain,sharp pain,0.012
low back pain,severe pain,0.011
low back pain,difficulty walking,0.01
lung cancer,shortness of breath,0.129
lung cancer,coughing,0.108
lung cancer,weakness,0.086
lung cancer,lesion,0.046
lung cancer,lethargy,0.037
lung cancer,back pain,0.033
lung cancer,fever,0.032
lung cancer,fatigue,0.026
lung cancer,cough with phlegm,0.023
lung cancer,coughing up blood,0.022
lung cancer,nausea,0.022
lung cancer,infection,0.021
lung cancer,constipation,0.02
lung cancer,confusion,0.018
lung cancer,low oxygen in the body,0.017
lung cancer,malaise,0.016
lung cancer,lump,0.016
lung cancer,chronic cough,0.015
lung cancer,wheezing,0.015
lung cancer,fast heart rate,0.014
lung cancer,mental confusion,0.014
lung cancer,sharp pain,0.011
lung cancer,weight loss,0.01
lung cancer,dehydration,0.01
lung cancer,difficulty swallowing,0.01
lung cancer,dry cough,0.01
lung cancer,skin rash,0.009
lung cancer,chills,0.009
lupus,pain,0.173
lupus,nausea,0.053
lupus,acute episodes,0.049
lupus,swelling,0.048
lupus,fever,0.037
lupus,diarrhea,0.034
lupus,abdominal pain,0.031
lupus,weakness,0.03
lupus,shortness of breath,0.03
lupus,chills,0.029
lupus,headache,0.024
lupus,joint pain,0.022
lupus,coughing,0.021
lupus,skin rash,0.021
lupus,seizures,0.02
lupus,fatigue,0.018
lupus,tenderness,0.018
lupus,cramping,0.015
lupus,lethargy,0.015
lupus,vomiting,0.014
lupus,infection,0.013
lupus,racing heartbeat,0.012
lupus,fast heart rate,0.009
lupus,dry cough,0.009
lupus,dizziness,0.009
lupus,cough with phlegm,0.008
lupus,flank pain,0.008
lupus,face rash,0.006
lyme disease,headache,0.163
lyme disease,skin rash,0.163
lyme disease,fever,0.131
lyme disease,lethargy,0.124
lyme disease,weakness,0.112
lyme disease,chills,0.108
lyme disease,numbness,0.102
lyme disease,fatigue,0.1
lyme disease,nausea,0.09
lyme disease,pain,0.076
lyme disease,joint pain,0.067
lyme disease,neck pain,0.062
lyme disease,stiffness,0.056
lyme disease,infection,0.054
lyme disease,blurred vision,0.038
lyme disease,malaise,0.037
lyme disease,dizziness,0.035
lyme disease,redness,0.032
lyme disease,discomfort,0.029
lyme disease,night sweats,0.026
major depression,depression,0.416
major depression,sadness,0.416
major depression,anxiety,0.222
major depression,thoughts of suicide,0.101
major depression,agitation,0.049
major depression,insomnia,0.035
major depression,weight loss,0.032
major depression,inability to feel pleasure,0.031
major depression,seizures,0.026
major depression,fast heart rate,0.026
major depression,poor appetite,0.024
major depression,hopelessness,0.024
major depression,loss of appetite,0.022
major depression,visual hallucinations,0.02
major depression,discomfort,0.02
major depression,tremor,0.019
major depression,racing thoughts,0.019
major depression,chronic back pain,0.016
major depression,loss of interest,0.016
major depression,hearing voices,0.016
major depression,crying,0.014
major depression,lightheadedness,0.013
major depression,constipation,0.012
major depression,delirium,0.012
major depression,substance abuse,0.011
major depression,pain during urination,0.009
major depression,falling,0.008
major depression,pain when coughing,0.008
major depression,guilt,0.008
major depression,pain worse at rest,0.008
major depression,difficulty concentrating,0.008
major depression,headache,0.008
melanoma,weakness,0.113
melanoma,confusion,0.068
melanoma,mental confusion,0.055
melanoma,lesion,0.053
melanoma,nausea,0.045
melanoma,lethargy,0.044
melanoma,vomiting,0.034
melanoma,fatigue,0.03
melanoma,seizures,0.029
melanoma,back pain,0.024
melanoma,shortness of breath,0.018
melanoma,numbness,0.016
melanoma,dizziness,0.014
meningitis,headache,0.45
meningitis,fever,0.34
meningitis,neck pain,0.205
meningitis,nausea,0.157
meningitis,stiffness,0.155
meningitis,sensitivity to light,0.142
meningitis,chills,0.134
meningitis,stiff neck,0.063
meningitis,back pain,0.057
meningitis,vomiting,0.055
meningitis,lethargy,0.046
meningitis,infection,0.045
meningitis,skin rash,0.043
meningitis,confusion,0.041
meningitis,weakness,0.037
meningitis,coughing,0.035
meningitis,severe headache,0.034
meningitis,pain,0.034
meningitis,seizures,0.033
meningitis,sore throat,0.03
meningitis,fatigue,0.029
meningitis,malaise,0.023
meningitis,dizziness,0.017
meningitis,mental confusion,0.017
meningitis,fear of loud sounds,0.014
meningitis,diarrhea,0.013
meningitis,night sweats,0.011
meningitis,dry cough,0.011
meningitis,ache,0.01
meningitis,muscle pain,0.01
middle ear infection,ear pain,0.694
middle ear infection,inflammation of ear,0.158
middle ear infection,sore throat,0.118
middle ear infection,coughing,0.096
middle ear infection,fever,0.069
middle ear infection,nasal congestion,0.055
middle ear infection,pain,0.053
middle ear infection,ache,0.05
middle ear infection,chills,0.049
middle ear infection,headache,0.035
middle ear infection,infection,0.029
middle ear infection,redness,0.029
middle ear infection,dizziness,0.02
middle ear infection,leaked fluid out of blood vessels or an organ,0.017
middle ear infection,cough with phlegm,0.015
middle ear infection,runny nose,0.015
middle ear infection,sinus pressure,0.014
middle ear infection,sinus pain,0.014
middle ear infection,ringing in the ears,0.008
middle ear infection,discomfort,0.008
migraine,headache,0.384
migraine,nausea,0.316
migraine,sensitivity to light,0.223
migraine,pain,0.217
migraine,vomiting,0.11
migraine,numbness,0.067
migraine,dizziness,0.062
migraine,fear of loud sounds,0.038
migraine,anxiety,0.037
migraine,neck pain,0.037
migraine,weakness,0.037
migraine,blurred vision,0.033
migraine,brief visual or sensory abnormality,0.028
migraine,depression,0.026
migraine,sadness,0.026
migraine,vertigo,0.021
migraine,chills,0.019
migraine,severe headache,0.018
migraine,seizures,0.017
migraine,lightheadedness,0.017
migraine,stiffness,0.013
migraine,double vision,0.013
migraine,hand numbness,0.008
migraine,eye pain,0.007
migraine,mental confusion,0.007
migraine,vision loss,0.006
migraine,throbbing headache,0.006
migraine,ache,0.006
migraine,crying,0.006
migraine,sharp pain,0.006
migraine,slurred speech,0.005
migraine,confusion,0.005
migraine,diarrhea,0.005
migraine,facial pain,0.005
migraine,sensitivity to sound,0.004
migraine,insomnia,0.004
migraine,severe pain,0.004
migraine,dehydration,0.004
migraine,partial loss of vision,0.004
migraine,stiff neck,0.004
migraine,difficulty speaking,0.003
migraine,persistent headache,0.003
miscarriage,bleeding,0.471
miscarriage,vaginal bleeding,0.431
miscarriage,cramping,0.421
miscarriage,spotting,0.202
miscarriage,pain,0.149
miscarriage,abdominal pain,0.092
miscarriage,lower abdominal pain,0.038
miscarriage,nausea,0.037
miscarriage,dizziness,0.03
miscarriage,pelvic pain,0.027
miscarriage,lightheadedness,0.026
miscarriage,vaginal discharge,0.024
miscarriage,pain in lower abdomen,0.018
miscarriage,discomfort,0.015
miscarriage,pain during urination,0.014
miscarriage,cyst,0.013
miscarriage,irregular menstruation,0.009
miscarriage,cavity,0.007
miscarriage,blood in urine,0.007
miscarriage,severe pain,0.007
miscarriage,abdominal discomfort,0.007
miscarriage,sharp pain,0.006
mono,sore throat,0.391
mono,fever,0.28
mono,pain,0.242
mono,chills,0.192
mono,lethargy,0.164
mono,fatigue,0.155
mono,coughing,0.111
mono,difficulty swallowing,0.099
mono,swelling,0.099
mono,nausea,0.098
mono,malaise,0.081
mono,leaked fluid out of blood vessels or an organ,0.067
mono,headache,0.066
mono,painful swallowing,0.053
mono,diarrhea,0.045
mono,neck pain,0.045
mono,redness,0.044
mono,ear pain,0.042
mono,enlarged neck lymph nodes,0.035
mono,skin rash,0.035
mono,fast heart rate,0.034
mono,swollen lymph nodes,0.033
mono,vomiting,0.033
mono,discomfort,0.032
mono,dry cough,0.029
mono,infection,0.025
mono,neck swelling,0.022
mono,weakness,0.019
mono,loss of appetite,0.018
mono,stiffness,0.017
mono,dizziness,0.017
mono,tenderness,0.017
multiple myeloma,back pain,0.07
multiple myeloma,fever,0.064
multiple myeloma,pain,0.055
multiple myeloma,weakness,0.052
multiple myeloma,lesion,0.046
multiple myeloma,coughing,0.04
multiple myeloma,diarrhea,0.035
multiple myeloma,chills,0.031
multiple myeloma,shortness of breath,0.025
multiple myeloma,abdominal pain,0.024
multiple myeloma,mental confusion,0.022
multiple myeloma,lethargy,0.021
multiple myeloma,cough with phlegm,0.02
multiple myeloma,hip pain,0.02
multiple myeloma,confusion,0.02
multiple myeloma,low blood pressure,0.019
multiple myeloma,leg pain,0.016
multiple myeloma,constipation,0.013
multiple sclerosis,weakness,0.152
multiple sclerosis,acute episodes,0.12
multiple sclerosis,numbness,0.063
multiple sclerosis,lethargy,0.039
multiple sclerosis,seizures,0.021
multiple sclerosis,fatigue,0.02
multiple sclerosis,headache,0.02
multiple sclerosis,leg pain,0.018
multiple sclerosis,falling,0.018
multiple sclerosis,incontinence,0.016
multiple sclerosis,back pain,0.015
multiple sclerosis,confusion,0.014
multiple sclerosis,slurred speech,0.011
multiple sclerosis,arm pain,0.011
multiple sclerosis,double vision,0.011
multiple sclerosis,difficulty walking,0.01
multiple sclerosis,infection,0.01
multiple sclerosis,blurred vision,0.01
multiple sclerosis,neck pain,0.01
multiple sclerosis,leaking of urine,0.01
multiple sclerosis,leg numbness,0.01
multiple sclerosis,mental confusion,0.009
multiple sclerosis,lesion,0.008
multiple sclerosis,hip pain,0.008
multiple sclerosis,fast heart rate,0.008
multiple sclerosis,diarrhea,0.007
multiple sclerosis,constipation,0.007
multiple sclerosis,muscle spasms,0.007
multiple sclerosis,urinary retention,0.006
multiple sclerosis,burning sensation,0.006
multiple sclerosis,crying,0.006
multiple sclerosis,hand numbness,0.005
multiple sclerosis,weight loss,0.005
multiple sclerosis,fever,0.005
multiple sclerosis,difficulty swallowing,0.005
multiple sclerosis,tremor,0.005
multiple sclerosis,bruising,0.004
multiple sclerosis,sensitivity to light,0.004
multiple sclerosis,dehydration,0.004
multiple sclerosis,problems with coordination,0.004
multiple sclerosis,tenderness,0.004
multiple sclerosis,hand pain,0.004
multiple sclerosis,stiffness,0.004
multiple sclerosis,insomnia,0.004
multiple sclerosis,discomfort,0.004
multiple sclerosis,difficulty raising the foot,0.004
multiple sclerosis,nasal congestion,0.004
multiple sclerosis,rapid involuntary eye movement,0.004
multiple sclerosis,sleepiness,0.004
multiple sclerosis,abnormality walking,0.004
multiple sclerosis,vision loss,0.003
multiple sclerosis,unsteady gait,0.003
myasthenia gravis,weakness,0.158
myasthenia gravis,difficulty swallowing,0.104
myasthenia gravis,acute episodes,0.094
myasthenia gravis,shortness of breath,0.083
myasthenia gravis,double vision,0.077
myasthenia gravis,drooping of upper eyelid,0.071
myasthenia gravis,lethargy,0.067
myasthenia gravis,coughing,0.056
myasthenia gravis,fatigue,0.04
myasthenia gravis,infection,0.029
myasthenia gravis,fainting,0.022
myasthenia gravis,low oxygen in the body,0.021
myasthenia gravis,difficulty walking,0.021
myasthenia gravis,slurred speech,0.02
myasthenia gravis,incontinence,0.02
myasthenia gravis,constipation,0.019
myasthenia gravis,muscle weakness,0.018
neutropenia,fever,0.344
neutropenia,chills,0.113
neutropenia,lethargy,0.085
neutropenia,fatigue,0.078
neutropenia,diarrhea,0.069
neutropenia,weakness,0.066
neutropenia,coughing,0.064
neutropenia,nausea,0.06
neutropenia,infection,0.05
neutropenia,vomiting,0.036
neutropenia,abdominal pain,0.031
neutropenia,malaise,0.031
obesity,pain,0.167
obesity,nausea,0.06
obesity,sadness,0.042
obesity,depression,0.042
obesity,abdominal pain,0.035
obesity,tenderness,0.026
obesity,chills,0.026
obesity,diarrhea,0.024
obesity,shortness of breath,0.023
obesity,anxiety,0.023
obesity,back pain,0.02
obesity,vomiting,0.017
obesity,infection,0.016
obesity,leg pain,0.015
obesity,knee pain,0.014
obesity,swelling,0.012
obesity,chronic back pain,0.011
obesity,weakness,0.01
obesity,redness,0.009
osteoarthritis,pain,0.175
osteoarthritis,knee pain,0.074
osteoarthritis,sadness,0.073
osteoarthritis,depression,0.073
osteoarthritis,hip pain,0.05
osteoarthritis,swelling,0.047
osteoarthritis,back pain,0.041
osteoarthritis,leg pain,0.038
osteoarthritis,bone loss,0.028
osteoarthritis,leaking of urine,0.024
osteoarthritis,anxiety,0.022
osteoarthritis,chronic back pain,0.021
osteoarthritis,shoulder pain,0.019
osteoarthritis,constipation,0.019
osteoarthritis,incontinence,0.015
osteoarthritis,tenderness,0.012
osteoarthritis,restless legs syndrome,0.011
osteoarthritis,stiffness,0.011
osteoporosis,pain,0.186
osteoporosis,back pain,0.088
osteoporosis,depression,0.04
osteoporosis,sadness,0.04
osteoporosis,hip pain,0.039
osteoporosis,weakness,0.034
osteoporosis,lesion,0.028
osteoporosis,anxiety,0.02
osteoporosis,vertigo,0.017
osteoporosis,constipation,0.016
osteoporosis,numbness,0.016
osteoporosis,leg pain,0.015
ovarian cancer,pain,0.286
ovarian cancer,nausea,0.178
ovarian cancer,abdominal pain,0.147
ovarian cancer,vomiting,0.106
ovarian cancer,fever,0.054
ovarian cancer,weakness,0.053
ovarian cancer,fluid in the abdomen,0.051
ovarian cancer,diarrhea,0.05
ovarian cancer,constipation,0.044
ovarian cancer,chills,0.039
ovarian cancer,discomfort,0.031
ovarian cancer,shortness of breath,0.029
ovarian cancer,bowel obstruction,0.028
ovarian cancer,lethargy,0.024
ovarian cancer,fatigue,0.021
ovarian cancer,cramping,0.02
ovarian cancer,tenderness,0.019
ovarian cancer,dehydration,0.018
ovarian cancer,skin rash,0.015
ovarian cancer,crying,0.015
